n_states,initialization,log_likelihood,aic,bic,model_params
4,6,-1265.373371203456,2576.746742406912,2688.6382413002416,"{'means': array([[-0.23626775],
       [ 0.85508387],
       [-1.00472788],
       [ 1.03741166]]), 'covars': array([[[0.18320687]],

       [[0.07942149]],

       [[0.09334873]],

       [[0.86687742]]]), 'transmat': array([[4.56718647e-01, 9.55645919e-02, 2.43557054e-01, 2.04159708e-01],
       [4.87767738e-01, 1.41041299e-06, 1.08336695e-01, 4.03894156e-01],
       [2.95490307e-01, 1.20751352e-01, 3.30591708e-01, 2.53166632e-01],
       [3.12058059e-01, 2.27833258e-03, 2.80565281e-01, 4.05098327e-01]]), 'startprob': array([1.00000000e+000, 4.62699060e-263, 1.72642078e-102, 8.90427743e-072])}"
4,7,-1262.5513714000795,2571.102742800159,2682.9942416934887,"{'means': array([[-0.33676907],
       [ 1.24348086],
       [-1.02204799],
       [ 0.50983926]]), 'covars': array([[[0.1503526 ]],

       [[0.90227825]],

       [[0.08908531]],

       [[0.45434249]]]), 'transmat': array([[0.26979442, 0.00990157, 0.29527079, 0.42503322],
       [0.06849141, 0.06467052, 0.39551519, 0.47132289],
       [0.23593986, 0.20270252, 0.30707121, 0.25428641],
       [0.50406384, 0.41099079, 0.08209959, 0.00284579]]), 'startprob': array([1.00000000e+000, 5.32892746e-150, 7.40278733e-233, 3.15792194e-136])}"
4,8,-1262.3983901925615,2570.796780385123,2682.6882792784527,"{'means': array([[-0.99828819],
       [ 1.32411432],
       [-0.28648431],
       [ 0.56958268]]), 'covars': array([[[0.09352146]],

       [[0.89298933]],

       [[0.1299415 ]],

       [[0.44336147]]]), 'transmat': array([[3.36760538e-01, 1.66944012e-01, 2.24421237e-01, 2.71874214e-01],
       [4.04559454e-01, 5.59088059e-02, 5.72153753e-02, 4.82316365e-01],
       [3.12783816e-01, 1.49143588e-05, 2.56187425e-01, 4.31013845e-01],
       [1.56014158e-01, 3.48134418e-01, 4.49822815e-01, 4.60286092e-02]]), 'startprob': array([3.40837491e-296, 5.26389939e-308, 1.00000000e+000, 8.32503480e-146])}"
4,9,-1264.3818860111176,2574.763772022235,2686.655270915565,"{'means': array([[-0.12678763],
       [ 0.7449975 ],
       [-0.90169849],
       [-0.17817011]]), 'covars': array([[[0.04986277]],

       [[0.86581583]],

       [[0.11414542]],

       [[0.37075724]]]), 'transmat': array([[0.00597749, 0.39568775, 0.3697479 , 0.22858687],
       [0.05116535, 0.5153541 , 0.32065083, 0.11282971],
       [0.05961655, 0.50346926, 0.43451392, 0.00240026],
       [0.9203375 , 0.00638059, 0.02868495, 0.04459696]]), 'startprob': array([1.00000000e+000, 2.62539117e-161, 2.17974509e-175, 8.69812972e-234])}"
5,0,-1258.2237352345678,2584.4474704691356,2749.8522949201447,"{'means': array([[-0.20485342],
       [ 0.59318752],
       [ 1.20414664],
       [-0.95718915],
       [-0.6607497 ]]), 'covars': array([[[0.08179615]],

       [[0.38972766]],

       [[0.95049798]],

       [[0.09751996]],

       [[0.22022842]]]), 'transmat': array([[1.03984522e-11, 5.02890339e-01, 2.01971350e-02, 3.08848649e-01,
        1.68063876e-01],
       [3.05361520e-01, 1.10062134e-02, 3.60028205e-01, 1.78896563e-01,
        1.44707500e-01],
       [1.67708906e-10, 4.56132478e-01, 1.11175951e-01, 3.08521300e-01,
        1.24170271e-01],
       [3.25562222e-04, 2.86915205e-01, 2.38295997e-01, 4.36750072e-01,
        3.77131640e-02],
       [9.12821682e-01, 3.12459998e-02, 5.25263669e-07, 1.19142359e-07,
        5.59316737e-02]]), 'startprob': array([1.00000000e+000, 1.51724320e-161, 1.46352888e-248, 0.00000000e+000,
       2.52141415e-207])}"
5,1,-1262.847515725917,2593.695031451834,2759.099855902843,"{'means': array([[-1.0289483 ],
       [ 0.62185459],
       [ 0.73077106],
       [-0.33264346],
       [ 2.02553541]]), 'covars': array([[[0.08800892]],

       [[0.38460635]],

       [[0.52154595]],

       [[0.15890489]],

       [[0.56086155]]]), 'transmat': array([[3.03292761e-01, 1.23938605e-01, 2.35497048e-01, 2.71268902e-01,
        6.60026837e-02],
       [4.36725863e-01, 4.74346981e-03, 2.54115960e-01, 9.10542904e-07,
        3.04413796e-01],
       [4.35816701e-12, 2.36941666e-01, 8.29326060e-02, 6.80125693e-01,
        3.53590044e-08],
       [2.59709992e-01, 1.91234438e-01, 2.03757742e-01, 3.45297828e-01,
        5.03594598e-15],
       [4.53302076e-01, 1.27179961e-03, 5.14525661e-01, 1.64789397e-02,
        1.44215240e-02]]), 'startprob': array([0.00000000e+000, 2.51692553e-207, 6.12954417e-167, 1.00000000e+000,
       0.00000000e+000])}"
5,2,-1263.2105065876153,2594.4210131752307,2759.8258376262397,"{'means': array([[ 0.39391895],
       [-0.19426767],
       [-0.9473242 ],
       [ 1.25151926],
       [-0.36055873]]), 'covars': array([[[0.54502472]],

       [[0.03618594]],

       [[0.09926786]],

       [[0.90121604]],

       [[0.3097352 ]]]), 'transmat': array([[6.77808429e-04, 1.21033128e-01, 2.49190410e-01, 2.62189202e-01,
        3.66909452e-01],
       [3.23337265e-01, 1.21749766e-03, 6.72231630e-01, 3.09054988e-03,
        1.23058036e-04],
       [3.12001074e-02, 7.37134734e-02, 3.61517172e-01, 2.47417547e-01,
        2.86151700e-01],
       [5.42987079e-01, 9.11847473e-04, 3.04051909e-01, 1.52049009e-01,
        1.55311326e-07],
       [9.73063875e-01, 7.43347730e-04, 2.60953508e-02, 9.37542908e-05,
        3.67246928e-06]]), 'startprob': array([3.85389678e-086, 1.00000000e+000, 2.67433074e-140, 1.00041624e-168,
       6.37686590e-024])}"
5,3,-1265.2865696362192,2598.5731392724383,2763.9779637234474,"{'means': array([[ 0.14177796],
       [-0.914929  ],
       [ 1.26550942],
       [-0.55172143],
       [ 0.71507427]]), 'covars': array([[[0.20494365]],

       [[0.11281666]],

       [[0.88358972]],

       [[0.24320237]],

       [[0.7500343 ]]]), 'transmat': array([[1.58033053e-04, 8.73069730e-02, 4.20395506e-01, 4.92028487e-01,
        1.11000834e-04],
       [1.50756008e-04, 4.42381987e-01, 1.41320392e-01, 1.37455517e-02,
        4.02401313e-01],
       [2.62416750e-01, 5.41544419e-01, 1.65787498e-01, 5.24877540e-05,
        3.01988459e-02],
       [4.73103628e-01, 2.17697950e-01, 3.85177154e-11, 2.75178109e-01,
        3.40203130e-02],
       [1.00042919e-01, 1.34921529e-02, 3.23598133e-05, 3.51587823e-01,
        5.34844745e-01]]), 'startprob': array([1.00000000e+000, 7.82197173e-138, 6.35302349e-241, 9.64365875e-091,
       1.37526094e-185])}"
5,4,-1256.523887209179,2581.047774418358,2746.452598869367,"{'means': array([[-0.21983209],
       [-1.00241648],
       [ 1.41539556],
       [ 0.6651563 ],
       [-0.28959898]]), 'covars': array([[[0.00567556]],

       [[0.09342825]],

       [[0.8080252 ]],

       [[0.34370362]],

       [[0.16314363]]]), 'transmat': array([[0.00000000e+00, 5.19027141e-01, 4.80972859e-01, 2.51912608e-99,
        6.45837103e-96],
       [2.60711653e-02, 3.41187701e-01, 1.61512174e-01, 2.46105087e-01,
        2.25123872e-01],
       [1.09321684e-50, 3.77611011e-01, 1.02572601e-01, 3.40056066e-01,
        1.79760322e-01],
       [1.38622122e-72, 1.48884145e-01, 3.33596150e-01, 5.57644560e-02,
        4.61755249e-01],
       [1.16040203e-36, 2.67607415e-01, 2.21782375e-02, 3.31759605e-01,
        3.78454742e-01]]), 'startprob': array([1., 0., 0., 0., 0.])}"
5,5,-1259.5243465126118,2587.0486930252237,2752.4535174762327,"{'means': array([[ 0.79601787],
       [ 0.72483792],
       [ 0.99779814],
       [-0.92921584],
       [-0.12018154]]), 'covars': array([[[0.02041001]],

       [[0.04061347]],

       [[0.82886236]],

       [[0.11011962]],

       [[0.11804923]]]), 'transmat': array([[3.10891151e-24, 1.40169016e-01, 6.25485667e-01, 9.24639580e-02,
        1.41881359e-01],
       [9.99999895e-01, 6.26931104e-17, 9.55753616e-16, 1.04541729e-07,
        3.07483636e-10],
       [3.18250863e-15, 2.08986891e-14, 3.45031643e-01, 3.65464326e-01,
        2.89504031e-01],
       [5.95661568e-02, 5.69939687e-24, 3.26892248e-01, 4.00792108e-01,
        2.12749487e-01],
       [5.36114798e-02, 5.83637767e-16, 2.59615266e-01, 3.23683301e-01,
        3.63089953e-01]]), 'startprob': array([0.00000000e+000, 0.00000000e+000, 2.31080747e-155, 4.55895704e-151,
       1.00000000e+000])}"
